001600190170,5164995368070,001,31/12/2020
001600190171,7755841985953,001,31/12/2020
001600190172,6246610181555,001,31/12/2020
001600190173,4950847812616,001,31/12/2020
001600190174,1043625853650,001,31/12/2020
001600190175,7521767250883,001,31/12/2020
001600190176,5508240874927,001,31/12/2020
001600190177,9211820331145,001,31/12/2020
001600190178,1806030847597,001,31/12/2020
001600190179,3518048120523,001,31/12/2020
001600190180,1117514138962,001,31/12/2020
001600190181,7782799164264,001,31/12/2020
001600190182,1438284713718,001,31/12/2020
001600190183,3837789422023,001,31/12/2020
001600190184,6818268173935,001,31/12/2020
001600190185,8649130069077,001,31/12/2020
001600190186,9192652732323,001,31/12/2020
001600190187,8930559985677,001,31/12/2020
001600190188,7047035244847,001,31/12/2020
001600190189,7038340565550,001,31/12/2020
001600190190,4853985585502,001,31/12/2020
001600190191,6567884858136,001,31/12/2020
001600190192,5492787303920,001,31/12/2020
001600190193,2791613283126,001,31/12/2020
001600190194,7508240876907,001,31/12/2020
001600190195,5671664296119,001,31/12/2020
001600190196,4106224901713,001,31/12/2020
001600190197,7723325554901,001,31/12/2020
001600190198,6665490328900,001,31/12/2020
001600190199,1330438828802,001,31/12/2020
001600190200,6620814931772,001,31/12/2020
001600190201,6506607966171,001,31/12/2020
001600190202,1251739294336,001,31/12/2020
001600190203,2942165440247,001,31/12/2020
001600190204,5464570931743,001,31/12/2020
001600190205,5823440777508,001,31/12/2020
001600190206,7335322957925,001,31/12/2020
001600190207,3232145155316,001,31/12/2020
001600190208,3528428624974,001,31/12/2020
001600190209,3521277925383,001,31/12/2020
001600190210,2003163007603,001,31/12/2020
001600190211,5399969733300,001,31/12/2020
001600190212,2171691933818,001,31/12/2020
001600190213,9898563524846,001,31/12/2020
001600190214,6396253085619,001,31/12/2020
001600190215,8622650771895,001,31/12/2020
001600190216,2617801004928,001,31/12/2020
001600190217,8014665896403,001,31/12/2020
001600190218,2428667679592,001,31/12/2020
001600190219,6877419279780,001,31/12/2020
001600190220,9047500623203,001,31/12/2020
001600190221,9637396942274,001,31/12/2020
001600190222,3009728682861,001,31/12/2020
001600190223,8501286514464,001,31/12/2020
001600190224,8753895040241,001,31/12/2020
001600190225,7504443182066,001,31/12/2020
001600190226,6804083400392,001,31/12/2020
001600190227,4302399805893,001,31/12/2020
001600190228,6935192670753,001,31/12/2020
001600190229,4709646748816,001,31/12/2020
001600190230,4589981556457,001,31/12/2020
001600190231,6896042382111,001,31/12/2020
001600190232,1142892922224,001,31/12/2020
001600190233,1192788778790,001,31/12/2020
001600190234,5472255614353,001,31/12/2020
001600190235,8967378485880,001,31/12/2020
001600190236,2964746421722,001,31/12/2020
001600190237,9604811953054,001,31/12/2020
001600190238,2977197906129,001,31/12/2020
001600190239,9580210669263,001,31/12/2020
001600190240,7538623930063,001,31/12/2020
001600190241,4881302309553,001,31/12/2020
001600190242,1737118326035,001,31/12/2020
001600190243,4939383823544,001,31/12/2020
001600190244,6987937945816,001,31/12/2020
001600190245,6894233351993,001,31/12/2020
001600190246,4928323863220,001,31/12/2020
001600190247,1118500244476,001,31/12/2020
001600190248,6612695377534,001,31/12/2020
001600190249,8032978048088,001,31/12/2020
001600190250,1374502651539,001,31/12/2020
001600190251,4766564008559,001,31/12/2020
001600190252,4073586271540,001,31/12/2020
001600190253,4881563648715,001,31/12/2020
001600190254,5455829594448,001,31/12/2020
001600190255,6812394381723,001,31/12/2020
001600190256,8298507772501,001,31/12/2020
001600190257,1939819052978,001,31/12/2020
001600190258,4219403297148,001,31/12/2020
001600190259,2198797626647,001,31/12/2020
001600190260,2345796709906,001,31/12/2020
001600190261,1396419618735,001,31/12/2020
001600190262,9219916458500,001,31/12/2020
001600190263,7773983765610,001,31/12/2020
001600190264,3101490251694,001,31/12/2020
001600190265,7106224911257,001,31/12/2020
001600190266,5062615382125,001,31/12/2020
001600190267,6117514137519,001,31/12/2020
001600190268,9612898139783,001,31/12/2020
001600190269,5939819106695,001,31/12/2020
001600190270,8265951890927,001,31/12/2020
001600190271,5420138130543,001,31/12/2020
001600190272,9341064061981,001,31/12/2020
001600190273,3692197253457,001,31/12/2020
001600190274,2551257723087,001,31/12/2020
001600190275,6584864257767,001,31/12/2020
001600190276,2500825271694,001,31/12/2020
001600190277,3663952350900,001,31/12/2020
001600190278,2687075649354,001,31/12/2020
001600190279,1246480169675,001,31/12/2020
001600190280,5576564969537,001,31/12/2020
001600190281,7433252318605,001,31/12/2020
001600190282,2225849473744,001,31/12/2020
001600190283,1046887159357,001,31/12/2020
001600190284,5286589768446,001,31/12/2020
001600190285,7339051367724,001,31/12/2020
001600190286,4942165517460,001,31/12/2020
001600190287,4190246877515,001,31/12/2020
001600190288,4887227245492,001,31/12/2020
001600190289,3627583920399,001,31/12/2020
001600190290,8271889916039,001,31/12/2020
001600190291,1687075580493,001,31/12/2020
001600190292,2160039357467,001,31/12/2020
001600190293,1186325213610,001,31/12/2020
001600190294,9202628633177,001,31/12/2020
001600190295,6112422585011,001,31/12/2020
001600190296,1094044105544,001,31/12/2020
001600190297,3241707849667,001,31/12/2020
001600190298,6396967640585,001,31/12/2020
001600190299,4626187704696,001,31/12/2020
001600190300,2928072341515,001,31/12/2020
001600190301,3665964094939,001,31/12/2020
001600190302,1626127742811,001,31/12/2020
001600190303,6104302810000,001,31/12/2020
001600190304,9549653474096,001,31/12/2020
001600190305,5346097618465,001,31/12/2020
001600190306,1579982805679,001,31/12/2020
001600190307,4136900409009,001,31/12/2020
001600190308,5270263193670,001,31/12/2020
001600190309,8751849427659,001,31/12/2020
001600190310,3751849444363,001,31/12/2020
001600190311,1922900905316,001,31/12/2020
001600190312,8014815389789,001,31/12/2020
001600190313,1695698818899,001,31/12/2020
